00.090	   0
00.270	   0
00.450	  58
00.630	  55
00.810	  65
00.990	  54
01.170	  50
01.350	  48
01.530	  64
01.710	  44
01.890	  39
02.070	  36
02.250	  48
02.430	  56
02.610	  41
02.790	  29
02.970	  46
03.150	  43
03.330	  34
03.510	  45
03.690	  43
03.870	  43
04.050	  48
04.230	  41
04.410	  42
04.590	  44
04.770	  38
04.950	  40
05.130	  45
05.310	  34
05.490	  38
05.670	  49
05.850	  36
06.030	  38
06.210	  48
06.390	  50
06.570	  47
06.750	  58
06.930	  93
07.110	 176
07.290	 489
07.470	1099
07.650	2074
07.830	3081
08.010	4042
08.190	5068
08.370	5940
08.550	6922
08.730	7881
08.910	8459
09.090	9192
09.270	9634
09.450	10416
09.630	11002
09.810	11533
09.990	12193
10.170	13150
10.350	14130
10.530	15218
10.710	16132
10.890	17360
11.070	18279
11.250	19507
11.430	20638
11.610	21680
11.790	23159
11.970	24222
12.150	25109
12.330	27076
12.510	28383
12.690	29501
12.870	31034
13.050	32280
13.230	33718
13.410	35088
13.590	36835
13.770	38464
13.950	40037
14.130	41702
14.310	42679
14.490	44656
14.670	46072
14.850	47626
15.030	49520
15.210	50795
15.390	51763
15.570	53822
15.750	55129
15.930	56030
16.110	57810
16.290	58757
16.470	60194
16.650	61611
16.830	63041
17.010	63709
17.190	64065
17.370	65176
17.550	66139
17.730	65785
17.910	66403
18.090	66178
18.270	66386
18.450	66899
18.630	67140
18.810	67020
18.990	67601
19.170	68680
19.350	69011
19.530	69207
19.710	69512
19.890	69859
20.070	69864
20.250	69748
20.430	69416
20.610	68895
20.790	69043
20.970	68414
21.150	68302
21.330	67939
21.510	67696
21.690	67153
21.870	66643
22.050	66179
22.230	65668
22.410	65494
22.590	65016
22.770	64111
22.950	64045
23.130	63279
23.310	63235
23.490	62334
23.670	62137
23.850	62049
24.030	61964
24.210	61258
24.390	60496
24.570	60648
24.750	60320
24.930	59354
25.110	59634
25.290	58986
25.470	58349
25.650	57857
25.830	57269
26.010	57235
26.190	57154
26.370	56847
26.550	57190
26.730	56960
26.910	57298
27.090	58887
27.270	59158
27.450	59789
27.630	60413
27.810	60766
27.990	60795
28.170	60415
28.350	59892
28.530	59970
28.710	59933
28.890	59891
29.070	59746
29.250	59356
29.430	59429
29.610	58888
29.790	58397
29.970	58738
30.150	59264
30.330	58423
30.510	58883
30.690	58796
30.870	59490
31.050	59989
31.230	60200
31.410	60313
31.590	60673
31.770	60172
31.950	60191
32.130	59860
32.310	58762
32.490	57840
32.670	57480
32.850	57168
33.030	56567
33.210	56131
33.390	55463
33.570	55272
33.750	54856
33.930	53848
34.110	53175
