# Lambda (Å), Efficiency
5.679999999999999716e+00,9.157207118382405531e-01
5.689999999999999503e+00,9.155770147644258783e-01
5.700000000000000178e+00,9.154340956995596912e-01
5.709999999999999964e+00,9.152769154744772040e-01
5.719999999999999751e+00,9.150896438889430939e-01
5.729999999999999538e+00,9.149033899472628351e-01
5.740000000000000213e+00,9.147246788911584936e-01
5.750000000000000000e+00,9.147450643122432279e-01
5.759999999999999787e+00,9.147653440994976126e-01
5.769999999999999574e+00,9.147855189808177245e-01
5.780000000000000249e+00,9.147345822363412982e-01
5.790000000000000036e+00,9.146561372230948006e-01
5.799999999999999822e+00,9.145781042839155051e-01
5.809999999999999609e+00,9.144893542446753676e-01
5.820000000000000284e+00,9.143833891495508626e-01
5.830000000000000071e+00,9.142779810453547373e-01
5.839999999999999858e+00,9.141742203178019333e-01
5.849999999999999645e+00,9.141023217393633438e-01
5.860000000000000320e+00,9.140307965389083966e-01
5.870000000000000107e+00,9.139596421262816683e-01
5.879999999999999893e+00,9.138633898434065372e-01
5.889999999999999680e+00,9.137546930293019010e-01
5.899999999999999467e+00,9.136465612727576735e-01
5.910000000000000142e+00,9.135509243365391718e-01
5.919999999999999929e+00,9.134876925838844031e-01
5.929999999999999716e+00,9.134247847950136556e-01
5.939999999999999503e+00,9.133621987535087694e-01
5.950000000000000178e+00,9.133021812742504464e-01
5.959999999999999964e+00,9.132428306385537153e-01
5.969999999999999751e+00,9.131837818247336980e-01
5.979999999999999538e+00,9.130617809374208527e-01
5.990000000000000213e+00,9.128572485285288973e-01
6.000000000000000000e+00,9.126537834097340207e-01
6.009999999999999787e+00,9.124513780964061960e-01
6.019999999999999574e+00,9.124246475564931069e-01
6.030000000000000249e+00,9.124013251034943650e-01
6.040000000000000036e+00,9.123781189853533702e-01
6.049999999999999822e+00,9.124012150297536872e-01
6.059999999999999609e+00,9.124681428288594631e-01
6.070000000000000284e+00,9.125347449935337085e-01
6.080000000000000071e+00,9.125962957099624795e-01
6.089999999999999858e+00,9.124487152887900132e-01
6.099999999999999645e+00,9.123018837713832152e-01
6.110000000000000320e+00,9.121557960619450789e-01
6.120000000000000107e+00,9.120514787384624844e-01
6.129999999999999893e+00,9.119866636970622720e-01
6.139999999999999680e+00,9.119221696559174362e-01
6.150000000000000355e+00,9.118579944915765623e-01
6.160000000000000142e+00,9.116764043932019668e-01
6.169999999999999929e+00,9.114935840776245968e-01
6.179999999999999716e+00,9.113116869216859595e-01
6.189999999999999503e+00,9.111902246146017514e-01
6.200000000000000178e+00,9.111475880954864603e-01
6.209999999999999964e+00,9.111051593644404756e-01
6.219999999999999751e+00,9.110629370703376972e-01
6.229999999999999538e+00,9.110818043053567905e-01
6.240000000000000213e+00,9.111104317815669207e-01
6.250000000000000000e+00,9.111389228485531344e-01
6.259999999999999787e+00,9.111291154482134003e-01
6.269999999999999574e+00,9.110158046985951108e-01
6.280000000000000249e+00,9.109030488041185425e-01
6.290000000000000036e+00,9.107908441265221144e-01
6.299999999999999822e+00,9.106492606675216095e-01
6.309999999999999609e+00,9.104927479858686556e-01
6.320000000000000284e+00,9.103370043690079960e-01
6.330000000000000071e+00,9.101855441079713671e-01
6.339999999999999858e+00,9.101827519128724564e-01
6.349999999999999645e+00,9.101799729069921518e-01
6.360000000000000320e+00,9.101772070073929077e-01
6.370000000000000107e+00,9.101140125708795381e-01
6.379999999999999893e+00,9.099480077197996675e-01
6.389999999999999680e+00,9.097828116956039324e-01
6.400000000000000355e+00,9.096184192074759922e-01
6.410000000000000142e+00,9.094429437116788861e-01
6.419999999999999929e+00,9.092630872861423574e-01
6.429999999999999716e+00,9.090841046782053292e-01
6.439999999999999503e+00,9.089059901843374867e-01
6.450000000000000178e+00,9.090221419543604853e-01
6.459999999999999964e+00,9.091386128903006236e-01
6.469999999999999751e+00,9.092545590148763957e-01
6.479999999999999538e+00,9.092699237272967583e-01
6.490000000000000213e+00,9.090276156183237921e-01
6.500000000000000000e+00,9.087864891305151849e-01
6.509999999999999787e+00,9.085465365011622385e-01
6.519999999999999574e+00,9.084944223007751507e-01
6.530000000000000249e+00,9.086012706397308403e-01
6.540000000000000036e+00,9.087076417056394462e-01
6.549999999999999822e+00,9.088135383173815418e-01
6.559999999999999609e+00,9.087650900557097122e-01
6.570000000000000284e+00,9.086733202311506608e-01
6.580000000000000071e+00,9.085819776973812489e-01
6.589999999999999858e+00,9.084910597922560838e-01
6.599999999999999645e+00,9.083339173174528325e-01
6.610000000000000320e+00,9.081772725625506526e-01
6.620000000000000107e+00,9.080213639768947020e-01
6.629999999999999893e+00,9.078852266684680483e-01
6.639999999999999680e+00,9.078297106300982078e-01
6.650000000000000355e+00,9.077744482239387125e-01
6.660000000000000142e+00,9.077194379023763027e-01
6.669999999999999929e+00,9.076365486639041968e-01
6.679999999999999716e+00,9.075053169149085441e-01
6.689999999999999503e+00,9.073746920592068443e-01
6.700000000000000178e+00,9.072446703333231222e-01
6.709999999999999964e+00,9.071858374898761346e-01
6.719999999999999751e+00,9.071930852638555587e-01
6.729999999999999538e+00,9.072003008112251576e-01
6.740000000000000213e+00,9.072074843226778373e-01
6.750000000000000000e+00,9.071843137503928789e-01
6.759999999999999787e+00,9.071446830563837382e-01
6.769999999999999574e+00,9.071052295687188627e-01
6.780000000000000249e+00,9.070659522299858724e-01
6.790000000000000036e+00,9.069896143058856497e-01
6.799999999999999822e+00,9.069014413952356524e-01
6.809999999999999609e+00,9.068136651428271300e-01
6.820000000000000284e+00,9.067262831608549067e-01
6.830000000000000071e+00,9.065879109369777700e-01
6.839999999999999858e+00,9.064402244678367859e-01
6.849999999999999645e+00,9.062932082334828054e-01
6.860000000000000320e+00,9.061468581511212816e-01
6.870000000000000107e+00,9.060929818356409093e-01
6.879999999999999893e+00,9.060495913133153056e-01
6.889999999999999680e+00,9.060063916467184786e-01
6.900000000000000355e+00,9.059633817152290547e-01
6.910000000000000142e+00,9.059197016346678399e-01
6.919999999999999929e+00,9.058761567138013948e-01
6.929999999999999716e+00,9.058328022428692172e-01
6.939999999999999503e+00,9.057896371099303234e-01
6.950000000000000178e+00,9.057739822544251806e-01
6.959999999999999964e+00,9.057596880815448337e-01
6.969999999999999751e+00,9.057454556130547507e-01
6.979999999999999538e+00,9.057312844939986451e-01
6.990000000000000213e+00,9.056441084480174597e-01
7.000000000000000000e+00,9.055533116707457086e-01
7.009999999999999787e+00,9.054629122363535565e-01
7.019999999999999574e+00,9.053729078172498834e-01
7.030000000000000249e+00,9.052500366149921485e-01
7.040000000000000036e+00,9.051247433027840295e-01
7.049999999999999822e+00,9.050000000093538777e-01
7.059999999999999609e+00,9.048758034965929120e-01
7.070000000000000284e+00,9.047856867935618608e-01
7.080000000000000071e+00,9.047011878900645954e-01
7.089999999999999858e+00,9.046170541183325975e-01
7.099999999999999645e+00,9.045332833669367245e-01
7.110000000000000320e+00,9.043900017469006514e-01
7.120000000000000107e+00,9.042313071990397688e-01
7.129999999999999893e+00,9.040733075774797234e-01
7.139999999999999680e+00,9.039159987937418483e-01
7.150000000000000355e+00,9.038730929615371723e-01
7.160000000000000142e+00,9.038817761269263285e-01
7.169999999999999929e+00,9.038904230693050046e-01
7.179999999999999716e+00,9.038990339897585713e-01
7.189999999999999503e+00,9.038819800321593601e-01
7.200000000000000178e+00,9.038452644690994076e-01
7.209999999999999964e+00,9.038087030517325537e-01
7.219999999999999751e+00,9.037722949163621289e-01
7.229999999999999538e+00,9.036754509778665012e-01
7.240000000000000213e+00,9.034944650570778668e-01
7.250000000000000000e+00,9.033142635559581191e-01
7.259999999999999787e+00,9.031348419010351014e-01
7.269999999999999574e+00,9.029779588820343594e-01
7.280000000000000249e+00,9.028885336955078111e-01
7.290000000000000036e+00,9.027994850644321945e-01
7.299999999999999822e+00,9.027108108659134267e-01
7.309999999999999609e+00,9.026254872760763881e-01
7.320000000000000284e+00,9.025972581463181932e-01
7.330000000000000071e+00,9.025691453506315964e-01
7.339999999999999858e+00,9.025411482494871684e-01
7.349999999999999645e+00,9.025132662077511858e-01
7.360000000000000320e+00,9.025019736298227624e-01
7.370000000000000107e+00,9.024940957819257425e-01
7.379999999999999893e+00,9.024862500044463776e-01
7.389999999999999680e+00,9.024784361234527985e-01
7.400000000000000355e+00,9.024371647863159707e-01
7.410000000000000142e+00,9.023724300291631195e-01
7.419999999999999929e+00,9.023079614427318429e-01
7.429999999999999716e+00,9.022437575637271001e-01
7.439999999999999503e+00,9.021500130177477761e-01
7.450000000000000178e+00,9.019926050405395745e-01
7.459999999999999964e+00,9.018358569509118405e-01
7.469999999999999751e+00,9.016797650307194489e-01
7.479999999999999538e+00,9.015258975440310074e-01
7.490000000000000213e+00,9.014371307733096694e-01
7.500000000000000000e+00,9.013487275222681339e-01
7.509999999999999787e+00,9.012606857974625463e-01
7.519999999999999574e+00,9.011730036191685222e-01
7.530000000000000249e+00,9.010604525842430546e-01
7.540000000000000036e+00,9.009378623421723242e-01
7.549999999999999822e+00,9.008157754731229705e-01
7.559999999999999609e+00,9.006941892038972108e-01
7.570000000000000284e+00,9.006181698714837980e-01
7.580000000000000071e+00,9.006215247712805461e-01
7.589999999999999858e+00,9.006248664317617614e-01
7.599999999999999645e+00,9.006281949224805849e-01
7.610000000000000320e+00,9.006315103125350774e-01
7.620000000000000107e+00,9.004883390949334210e-01
7.629999999999999893e+00,9.003449425381984117e-01
7.639999999999999680e+00,9.002021313929001733e-01
7.650000000000000355e+00,9.000599024484832178e-01
7.660000000000000142e+00,8.999190592890908835e-01
7.669999999999999929e+00,8.997793227128060289e-01
7.679999999999999716e+00,8.996401532017104241e-01
7.689999999999999503e+00,8.995015476648745567e-01
7.700000000000000178e+00,8.993933479466185155e-01
7.709999999999999964e+00,8.994190460853804803e-01
7.719999999999999751e+00,8.994446451557165378e-01
7.729999999999999538e+00,8.994701456652488547e-01
7.740000000000000213e+00,8.994955481183586343e-01
7.750000000000000000e+00,8.994019030484330379e-01
7.759999999999999787e+00,8.992665450566720287e-01
7.769999999999999574e+00,8.991317296030334472e-01
7.780000000000000249e+00,8.989974537670464283e-01
7.790000000000000036e+00,8.988878153013359906e-01
7.799999999999999822e+00,8.988441773223810882e-01
7.809999999999999609e+00,8.988007089662185534e-01
7.820000000000000284e+00,8.987574093522313623e-01
7.830000000000000071e+00,8.987142776055270232e-01
7.839999999999999858e+00,8.986952844720296207e-01
7.849999999999999645e+00,8.986834014471631882e-01
7.860000000000000320e+00,8.986715639047460069e-01
7.870000000000000107e+00,8.986597716127640023e-01
7.879999999999999893e+00,8.986175337453207179e-01
7.889999999999999680e+00,8.984847050534852109e-01
7.900000000000000355e+00,8.983523999807870863e-01
7.910000000000000142e+00,8.982206157550501890e-01
7.919999999999999929e+00,8.980893496225651473e-01
7.929999999999999716e+00,8.979475471288345112e-01
7.940000000000000391e+00,8.978016512908747471e-01
7.950000000000000178e+00,8.976563292317232268e-01
7.959999999999999964e+00,8.975115779183817644e-01
7.969999999999999751e+00,8.973795259805094071e-01
7.979999999999999538e+00,8.973294499972555016e-01
7.990000000000000213e+00,8.972795646954054849e-01
8.000000000000000000e+00,8.972298691046692865e-01
8.009999999999999787e+00,8.971803622609413331e-01
8.019999999999999574e+00,8.971239725677042642e-01
8.029999999999999361e+00,8.970615141211343291e-01
8.039999999999999147e+00,8.969992929083513422e-01
8.050000000000000711e+00,8.969373077241925563e-01
8.060000000000000497e+00,8.968755573711711948e-01
8.070000000000000284e+00,8.967223349660236043e-01
8.080000000000000071e+00,8.965597725194398571e-01
8.089999999999999858e+00,8.963978418390960989e-01
8.099999999999999645e+00,8.962365396213393121e-01
8.109999999999999432e+00,8.961078454214576050e-01
8.119999999999999218e+00,8.960762219164373210e-01
8.130000000000000782e+00,8.960447161415473483e-01
8.140000000000000568e+00,8.960133275117763141e-01
8.150000000000000355e+00,8.959820554457509356e-01
8.160000000000000142e+00,8.959598150914800385e-01
8.169999999999999929e+00,8.959444281084577577e-01
8.179999999999999716e+00,8.959290977852580884e-01
8.189999999999999503e+00,8.959138238437178714e-01
8.199999999999999289e+00,8.958986060073809155e-01
8.209999999999999076e+00,8.958394984084214752e-01
8.220000000000000639e+00,8.957734912988761788e-01
8.230000000000000426e+00,8.957077294900753772e-01
8.240000000000000213e+00,8.956422117623238366e-01
8.250000000000000000e+00,8.955818312236699663e-01
8.259999999999999787e+00,8.955556712215235748e-01
8.269999999999999574e+00,8.955296068193315806e-01
8.279999999999999361e+00,8.955036375509366486e-01
8.289999999999999147e+00,8.954777629530245031e-01
8.300000000000000711e+00,8.953775436818927069e-01
8.310000000000000497e+00,8.951476667179381064e-01
8.320000000000000284e+00,8.949186768484348464e-01
8.330000000000000071e+00,8.946905694497161443e-01
8.339999999999999858e+00,8.944633399285764064e-01
8.349999999999999645e+00,8.943226424568330168e-01
8.359999999999999432e+00,8.942459136381143425e-01
8.369999999999999218e+00,8.941694662175331265e-01
8.380000000000000782e+00,8.940932988131655712e-01
8.390000000000000568e+00,8.940174100516051769e-01
8.400000000000000355e+00,8.939614164314761968e-01
8.410000000000000142e+00,8.939119168681868288e-01
8.419999999999999929e+00,8.938625962910704548e-01
8.429999999999999716e+00,8.938134538350651637e-01
8.439999999999999503e+00,8.937644886403477429e-01
8.449999999999999289e+00,8.936259510315816001e-01
8.459999999999999076e+00,8.934792666040035636e-01
8.470000000000000639e+00,8.933331253670258043e-01
8.480000000000000426e+00,8.931875246151430581e-01
8.490000000000000213e+00,8.930426236901162218e-01
8.500000000000000000e+00,8.929022556066865679e-01
8.509999999999999787e+00,8.927624040173434139e-01
8.519999999999999574e+00,8.926230663667260590e-01
8.529999999999999361e+00,8.924842401153983973e-01
8.539999999999999147e+00,8.923818229993201179e-01
8.550000000000000711e+00,8.925040742457212017e-01
8.560000000000000497e+00,8.926259139544733268e-01
8.570000000000000284e+00,8.927473439505563269e-01
8.580000000000000071e+00,8.928683660489629137e-01
8.589999999999999858e+00,8.929347827390866632e-01
8.599999999999999645e+00,8.927954318746152973e-01
8.609999999999999432e+00,8.926565879084386035e-01
8.619999999999999218e+00,8.925182483611667772e-01
8.630000000000000782e+00,8.923804107686873488e-01
8.640000000000000568e+00,8.922680090861930813e-01
8.650000000000000355e+00,8.922304829469482890e-01
8.660000000000000142e+00,8.921930883011235380e-01
8.669999999999999929e+00,8.921558245333082171e-01
8.679999999999999716e+00,8.921186910316991625e-01
8.689999999999999503e+00,8.920651001039918704e-01
8.699999999999999289e+00,8.919655453107970811e-01
8.710000000000000853e+00,8.918663442739065417e-01
8.720000000000000639e+00,8.917674953070521271e-01
8.730000000000000426e+00,8.916689967340687417e-01
8.740000000000000213e+00,8.915862730743870923e-01
8.750000000000000000e+00,8.915503437100207318e-01
8.759999999999999787e+00,8.915145387618879091e-01
8.769999999999999574e+00,8.914788576545967791e-01
8.779999999999999361e+00,8.914432998160874977e-01
8.789999999999999147e+00,8.913823192443558474e-01
8.800000000000000711e+00,8.912223873491477155e-01
8.810000000000000497e+00,8.910630283018357023e-01
8.820000000000000284e+00,8.909042393393697967e-01
8.830000000000000071e+00,8.907460177155066550e-01
8.839999999999999858e+00,8.906113524131042958e-01
8.849999999999999645e+00,8.906291487512431049e-01
8.859999999999999432e+00,8.906468852187795493e-01
8.869999999999999218e+00,8.906645620835692556e-01
8.880000000000000782e+00,8.906821796119737122e-01
8.890000000000000568e+00,8.906946946273019972e-01
8.900000000000000355e+00,8.905359785984423571e-01
8.910000000000000142e+00,8.903778248114037064e-01
8.919999999999999929e+00,8.902202305839637120e-01
8.929999999999999716e+00,8.900631932500371324e-01
8.939999999999999503e+00,8.899067101595596885e-01
8.949999999999999289e+00,8.897464614914717407e-01
8.960000000000000853e+00,8.895862801949294685e-01
8.970000000000000639e+00,8.894266630210507785e-01
8.980000000000000426e+00,8.892676072938902054e-01
8.990000000000000213e+00,8.891091103535133655e-01
9.000000000000000000e+00,8.890132376523079971e-01
9.009999999999999787e+00,8.889400609631208372e-01
9.019999999999999574e+00,8.888671335148049524e-01
9.029999999999999361e+00,8.887944541703077794e-01
9.039999999999999147e+00,8.887220217990892124e-01
9.050000000000000711e+00,8.886846383712492248e-01
9.060000000000000497e+00,8.886765931224474002e-01
9.070000000000000284e+00,8.886685745419832250e-01
9.080000000000000071e+00,8.886605825120414970e-01
9.089999999999999858e+00,8.886526169154562727e-01
9.099999999999999645e+00,8.886175599813256332e-01
9.109999999999999432e+00,8.885255584704327969e-01
9.119999999999999218e+00,8.884338689100501618e-01
9.130000000000000782e+00,8.883424898814464843e-01
9.140000000000000568e+00,8.882514199740001448e-01
9.150000000000000355e+00,8.881600978358854537e-01
9.160000000000000142e+00,8.880616729259804831e-01
9.169999999999999929e+00,8.879635806970135325e-01
9.179999999999999716e+00,8.878658196399943359e-01
9.189999999999999503e+00,8.877683882545395200e-01
9.199999999999999289e+00,8.876712850488125417e-01
9.210000000000000853e+00,8.876316002581201570e-01
9.220000000000000639e+00,8.876073638142912836e-01
9.230000000000000426e+00,8.875832067614457532e-01
9.240000000000000213e+00,8.875591287525120832e-01
9.250000000000000000e+00,8.875351294423158288e-01
9.259999999999999787e+00,8.874999562308627521e-01
9.269999999999999574e+00,8.874525193250893951e-01
9.279999999999999361e+00,8.874052382124006932e-01
9.289999999999999147e+00,8.873581122086718898e-01
9.300000000000000711e+00,8.873111406335428830e-01
9.310000000000000497e+00,8.872392864994402828e-01
9.320000000000000284e+00,8.870042402241586910e-01
9.330000000000000071e+00,8.867700112984446825e-01
9.339999999999999858e+00,8.865365958763962162e-01
9.349999999999999645e+00,8.863039901350164840e-01
9.359999999999999432e+00,8.860721902740489320e-01
9.369999999999999218e+00,8.860313518869699090e-01
9.380000000000000782e+00,8.860510405798348588e-01
9.390000000000000568e+00,8.860706668385155416e-01
9.400000000000000355e+00,8.860902309262462806e-01
9.410000000000000142e+00,8.861097331048779502e-01
9.419999999999999929e+00,8.860552966837876854e-01
9.429999999999999716e+00,8.858662834900243865e-01
9.439999999999999503e+00,8.856779107907724047e-01
9.449999999999999289e+00,8.854901756559891979e-01
9.460000000000000853e+00,8.853030751725696756e-01
9.470000000000000639e+00,8.851166064442276271e-01
9.480000000000000426e+00,8.851725102154371916e-01
9.490000000000000213e+00,8.852499435109848491e-01
9.500000000000000000e+00,8.853271391518922062e-01
9.509999999999999787e+00,8.854040981024402512e-01
9.519999999999999574e+00,8.854808213220625168e-01
9.529999999999999361e+00,8.854485161569587426e-01
9.539999999999999147e+00,8.852835487593050390e-01
9.550000000000000711e+00,8.851191299080644059e-01
9.560000000000000497e+00,8.849552571439315285e-01
9.570000000000000284e+00,8.847919280215205129e-01
9.580000000000000071e+00,8.846291401092679640e-01
9.589999999999999858e+00,8.846210973319081905e-01
9.599999999999999645e+00,8.846210443626358888e-01
9.609999999999999432e+00,8.846209915586377148e-01
9.619999999999999218e+00,8.846209389192262185e-01
9.630000000000000782e+00,8.846208864437185015e-01
9.640000000000000568e+00,8.845404681768457289e-01
9.650000000000000355e+00,8.843494927228637836e-01
9.660000000000000142e+00,8.841591511008105586e-01
9.669999999999999929e+00,8.839694404696080143e-01
9.679999999999999716e+00,8.837803580042744578e-01
9.689999999999999503e+00,8.835919008958148524e-01
9.699999999999999289e+00,8.835175162931794279e-01
9.710000000000000853e+00,8.834622483003475857e-01
9.720000000000000639e+00,8.834071542418437950e-01
9.730000000000000426e+00,8.833522333851288044e-01
9.740000000000000213e+00,8.832974850015321566e-01
9.750000000000000000e+00,8.832464233628550820e-01
9.759999999999999787e+00,8.832053961805067521e-01
9.769999999999999574e+00,8.831644968100295090e-01
9.779999999999999361e+00,8.831237247191755513e-01
9.789999999999999147e+00,8.830830793784740784e-01
9.800000000000000711e+00,8.830425602612141933e-01
9.810000000000000497e+00,8.828980237630811301e-01
9.820000000000000284e+00,8.826941935287625496e-01
9.830000000000000071e+00,8.824910318939465093e-01
9.839999999999999858e+00,8.822885358938331590e-01
9.849999999999999645e+00,8.820867025802523465e-01
9.859999999999999432e+00,8.818855290215508180e-01
9.869999999999999218e+00,8.819340869215005485e-01
9.880000000000000782e+00,8.819888057214158028e-01
9.890000000000000568e+00,8.820433620031842281e-01
9.900000000000000355e+00,8.820977564062841836e-01
9.910000000000000142e+00,8.821519895670690836e-01
9.919999999999999929e+00,8.821393238507261314e-01
9.929999999999999716e+00,8.819578029140470177e-01
9.939999999999999503e+00,8.817768667413445893e-01
9.949999999999999289e+00,8.815965127888965025e-01
9.960000000000000853e+00,8.814167385269658928e-01
9.970000000000000639e+00,8.812375414397071172e-01
9.980000000000000426e+00,8.811608449695298440e-01
9.990000000000000213e+00,8.811651173611713128e-01
