# Lambda (Å), Efficiency
9.699999999999999734e-01,9.156377988231909626e-01
9.799999999999999822e-01,9.167798681546689421e-01
9.899999999999999911e-01,9.178699648674515377e-01
1.000000000000000000e+00,9.187901043549163704e-01
1.010000000000000009e+00,9.198367417024887471e-01
1.020000000000000018e+00,9.206797967488316026e-01
1.030000000000000027e+00,9.214826979193654344e-01
1.040000000000000036e+00,9.223546952172361202e-01
1.050000000000000044e+00,9.232101779178740752e-01
1.060000000000000053e+00,9.239777997367685236e-01
1.070000000000000062e+00,9.246681007957744391e-01
1.080000000000000071e+00,9.254683439227621156e-01
1.090000000000000080e+00,9.261841391425857939e-01
1.100000000000000089e+00,9.270366231503763821e-01
1.110000000000000098e+00,9.276113784191970524e-01
1.120000000000000107e+00,9.282650219188597340e-01
1.130000000000000115e+00,9.288157620506756196e-01
1.140000000000000124e+00,9.292969901074867867e-01
1.150000000000000133e+00,9.299334307389205412e-01
1.160000000000000142e+00,9.304411510230190530e-01
1.169999999999999929e+00,9.310335132093203736e-01
1.179999999999999938e+00,9.316054599744181264e-01
1.189999999999999947e+00,9.321114328797448501e-01
1.199999999999999956e+00,9.323817431339691542e-01
1.209999999999999964e+00,9.330447364855147807e-01
1.219999999999999973e+00,9.332332802841346586e-01
1.229999999999999982e+00,9.337514892455720528e-01
1.239999999999999991e+00,9.341569089817198801e-01
1.250000000000000000e+00,9.345803935388197203e-01
1.260000000000000009e+00,9.349063716567300730e-01
1.270000000000000018e+00,9.352225731161988298e-01
1.280000000000000027e+00,9.356068201521787753e-01
1.290000000000000036e+00,9.359396973275693199e-01
1.300000000000000044e+00,9.361846014791862514e-01
1.310000000000000053e+00,9.366886083681060793e-01
1.320000000000000062e+00,9.368230608840321105e-01
1.330000000000000071e+00,9.370779677805074481e-01
1.340000000000000080e+00,9.372450588486338496e-01
1.350000000000000089e+00,9.375044485857061405e-01
1.360000000000000098e+00,9.377484447259312184e-01
1.370000000000000107e+00,9.380544425042717238e-01
1.380000000000000115e+00,9.382640905333249348e-01
1.390000000000000124e+00,9.384370649008999532e-01
1.400000000000000133e+00,9.386578679404341541e-01
1.410000000000000142e+00,9.388225547987560926e-01
1.419999999999999929e+00,9.389808366223445502e-01
1.429999999999999938e+00,9.392654944921313698e-01
1.439999999999999947e+00,9.394358640933918592e-01
1.449999999999999956e+00,9.394939915829917387e-01
1.459999999999999964e+00,9.396739144461779825e-01
1.469999999999999973e+00,9.398231614521601607e-01
1.479999999999999982e+00,9.400569915584331415e-01
1.489999999999999991e+00,9.401447554779599480e-01
1.500000000000000000e+00,9.402929233130401521e-01
1.510000000000000009e+00,9.404676172226135167e-01
1.520000000000000018e+00,9.404240744349489090e-01
1.530000000000000027e+00,9.405575730013157054e-01
1.540000000000000036e+00,9.407043514724893196e-01
1.550000000000000044e+00,9.408117779238402978e-01
1.560000000000000053e+00,9.408530674200349386e-01
1.570000000000000062e+00,9.409925759850912286e-01
1.580000000000000071e+00,9.410209258932760168e-01
1.590000000000000080e+00,9.410027901907601633e-01
1.600000000000000089e+00,9.410509815676268985e-01
1.610000000000000098e+00,9.412812067002575001e-01
1.620000000000000107e+00,9.412975954802783596e-01
1.630000000000000115e+00,9.413458220171516677e-01
1.640000000000000124e+00,9.412156970290186386e-01
1.650000000000000133e+00,9.412363353587573922e-01
1.660000000000000142e+00,9.413262314820777243e-01
1.670000000000000151e+00,9.415140019009540229e-01
1.679999999999999938e+00,9.415964380398298417e-01
1.689999999999999947e+00,9.415382830363278055e-01
1.699999999999999956e+00,9.415348479942121651e-01
1.709999999999999964e+00,9.415917961985422746e-01
1.719999999999999973e+00,9.415849962874850432e-01
1.729999999999999982e+00,9.416444480906477343e-01
1.739999999999999991e+00,9.415256077397726742e-01
1.750000000000000000e+00,9.415665004299477170e-01
1.760000000000000009e+00,9.416651341454200796e-01
1.770000000000000018e+00,9.417634981959327467e-01
1.780000000000000027e+00,9.416544866191084440e-01
1.790000000000000036e+00,9.417178035326990715e-01
1.800000000000000044e+00,9.417099625508567051e-01
1.810000000000000053e+00,9.416094676885713444e-01
1.820000000000000062e+00,9.416125575324383323e-01
1.830000000000000071e+00,9.417176003689555763e-01
1.840000000000000080e+00,9.417861766725550421e-01
1.850000000000000089e+00,9.416122114673693977e-01
1.860000000000000098e+00,9.414614278665546232e-01
1.870000000000000107e+00,9.414621906184850175e-01
1.880000000000000115e+00,9.414440589562816930e-01
1.890000000000000124e+00,9.414291851759283292e-01
1.900000000000000133e+00,9.413235516545270798e-01
1.910000000000000142e+00,9.413595523576674395e-01
1.920000000000000151e+00,9.412074352131867272e-01
1.929999999999999938e+00,9.412837747646116693e-01
1.939999999999999947e+00,9.414447336620852536e-01
1.949999999999999956e+00,9.413710585340864245e-01
