# Lambda (Å), Efficiency (9.85 Bar, 2.4384 cm inner tube diameter, 0.0508 cm wall thickness)
1.000000000000000021e-02,2.376524505384503341e-02
1.099999999999999936e-02,2.628626903557881173e-02
1.199999999999999852e-02,2.877764135520162123e-02
1.299999999999999767e-02,3.070690802564813790e-02
1.399999999999999682e-02,3.347307866368600532e-02
1.499999999999999598e-02,3.584146672660651345e-02
1.599999999999999339e-02,3.779035951398995730e-02
1.699999999999999428e-02,4.058555693973700529e-02
1.799999999999999517e-02,4.315616303358457001e-02
1.899999999999999259e-02,4.532359648601860108e-02
1.999999999999999001e-02,4.716979388222188041e-02
2.099999999999999090e-02,4.986009308470612522e-02
2.199999999999999178e-02,5.248409442107104111e-02
2.299999999999998920e-02,5.476466578617352615e-02
2.399999999999998662e-02,5.676102310951746527e-02
2.499999999999998751e-02,5.864023757832093758e-02
2.599999999999998840e-02,6.153572512847357845e-02
2.699999999999998929e-02,6.417107324159690429e-02
2.799999999999998324e-02,6.652048050322734163e-02
2.899999999999998412e-02,6.862469758448024038e-02
2.999999999999998501e-02,7.052083936100890516e-02
3.099999999999998590e-02,7.228593773420753654e-02
3.199999999999997985e-02,7.505461173638765249e-02
3.299999999999998074e-02,7.780508926700403782e-02
3.399999999999998163e-02,8.031147880145608764e-02
3.499999999999998251e-02,8.260175709674115463e-02
3.599999999999997646e-02,8.469430383327168632e-02
3.699999999999997735e-02,8.661880804926391786e-02
3.799999999999997824e-02,8.838183770592618338e-02
3.899999999999997913e-02,9.009510423218775044e-02
3.999999999999997308e-02,9.257449293897257458e-02
4.099999999999997397e-02,9.527987600422031800e-02
4.199999999999997485e-02,9.778372715125320525e-02
4.299999999999997574e-02,1.001025157451675973e-01
4.399999999999997663e-02,1.022599770965185173e-01
4.499999999999997058e-02,1.042705487751043880e-01
4.599999999999997147e-02,1.061475730774687765e-01
4.699999999999997236e-02,1.079016044880443947e-01
4.799999999999996630e-02,1.096464673939464146e-01
4.899999999999996719e-02,1.119854804908882312e-01
4.999999999999996808e-02,1.146593646298341429e-01
5.099999999999996897e-02,1.172069524148810632e-01
5.199999999999996986e-02,1.196224355146090629e-01
5.299999999999996381e-02,1.218780935364545681e-01
5.399999999999996469e-02,1.240029669209295471e-01
5.499999999999996558e-02,1.260032096165463744e-01
5.599999999999995953e-02,1.279057020392879440e-01
5.699999999999996042e-02,1.297031018831468208e-01
5.799999999999996131e-02,1.313609146992129051e-01
5.899999999999996220e-02,1.330752986342046695e-01
5.999999999999996309e-02,1.350512127483871616e-01
6.099999999999995703e-02,1.375195490171085555e-01
6.199999999999995792e-02,1.401281671107156568e-01
6.299999999999995881e-02,1.426408148851383284e-01
6.399999999999994582e-02,1.450735846972841525e-01
6.499999999999994671e-02,1.473758807585135167e-01
6.599999999999994760e-02,1.495547530030182648e-01
6.699999999999994849e-02,1.516309936836826577e-01
6.799999999999994937e-02,1.536099830863688898e-01
6.899999999999995026e-02,1.555026905162222028e-01
6.999999999999995115e-02,1.572978565411068674e-01
7.099999999999995204e-02,1.590208440877447504e-01
7.199999999999993905e-02,1.606811574631112072e-01
7.299999999999993994e-02,1.622844379166709650e-01
7.399999999999994083e-02,1.638735507918284706e-01
7.499999999999994171e-02,1.656376846989500162e-01
7.599999999999994260e-02,1.676652142367113241e-01
7.699999999999994349e-02,1.699653523724274362e-01
7.799999999999994438e-02,1.723506122610150293e-01
7.899999999999993139e-02,1.747528609942125277e-01
7.999999999999993228e-02,1.770051705191441338e-01
8.099999999999993316e-02,1.792273734041084088e-01
8.199999999999993405e-02,1.813259128993145175e-01
8.299999999999993494e-02,1.833613924480959056e-01
8.399999999999993583e-02,1.853067937169398383e-01
8.499999999999993672e-02,1.871805471055295877e-01
8.599999999999992373e-02,1.889926703432979194e-01
8.699999999999992462e-02,1.907075094257662251e-01
8.799999999999992550e-02,1.923934146603504536e-01
8.899999999999992639e-02,1.939724507828247124e-01
8.999999999999992728e-02,1.956160292082013141e-01
9.099999999999992817e-02,1.971968250511950405e-01
9.199999999999992906e-02,1.988638132007643500e-01
9.299999999999992994e-02,2.006670374442481308e-01
9.399999999999993083e-02,2.026245397672225002e-01
9.499999999999991784e-02,2.047451339961375294e-01
9.599999999999991873e-02,2.069683389029003673e-01
9.699999999999991962e-02,2.092461136905909569e-01
9.799999999999992051e-02,2.114607204533301699e-01
9.899999999999992140e-02,2.136597904316049068e-01
9.999999999999992228e-02,2.157707570770293626e-01
1.009999999999999232e-01,2.178444014217433000e-01
1.019999999999999102e-01,2.198449213690394644e-01
1.029999999999999111e-01,2.217616192871453840e-01
1.039999999999999120e-01,2.236153996564966551e-01
1.049999999999999128e-01,2.254182305901630823e-01
1.059999999999999137e-01,2.271933151571026155e-01
1.069999999999999146e-01,2.288792833641195290e-01
1.079999999999999155e-01,2.304959276381166600e-01
1.089999999999999164e-01,2.321026867755529577e-01
1.099999999999999173e-01,2.336347767464604652e-01
1.109999999999999043e-01,2.352120097881142957e-01
1.119999999999999052e-01,2.367204097966634502e-01
1.129999999999999061e-01,2.381970943102269811e-01
1.139999999999999070e-01,2.396449335022502458e-01
1.149999999999999079e-01,2.411528706278592005e-01
1.159999999999999087e-01,2.427378654478629383e-01
1.169999999999999096e-01,2.444630149804596919e-01
1.179999999999998966e-01,2.462364617912967679e-01
1.189999999999998975e-01,2.481224288718774373e-01
1.199999999999998984e-01,2.500494672482723724e-01
1.209999999999998993e-01,2.520641769535126864e-01
1.219999999999999002e-01,2.540266997091614187e-01
1.229999999999999011e-01,2.560152216683787563e-01
